1,Guglielma,Nurden,30,98,68,81,82
2,Ricky,Kline,30,90,1,90,60
3,Gray,Dybell,23,80,22,64,55
4,Daisey,Hawkswood,26,91,13,85,63
5,Eleonore,Peacocke,30,79,19,4,34
6,Wilden,Dollman,21,17,28,75,40
7,Audrie,Coode,21,80,64,69,71
8,Alonzo,Conrard,23,52,64,77,64
9,Dwight,Crosio,19,8,30,86,41
10,Jonas,Greveson,26,59,84,1,48
11,Delcine,Thebe,22,72,83,26,60
12,Towny,Jehu,18,71,68,48,62
13,Saunders,Brydell,23,15,61,61,46
14,Elicia,Hulkes,30,72,81,5,53
15,Clair,Dudden,22,76,56,66,66
16,Ara,Sleightholme,20,9,64,55,43
17,Melvyn,Boutcher,24,63,60,80,68
18,Allissa,Bucknall,26,84,20,65,56
19,Ancell,Himpson,18,87,27,74,63
20,Joe,Jaquiss,23,74,44,63,60
21,Kaitlyn,Ventam,30,24,23,50,32
22,Adams,Aveyard,28,85,64,81,77
23,Sholom,Tomala,18,85,39,14,46
24,Denni,Girardy,22,47,83,71,67
25,Marlena,Sanderson,22,83,76,8,56
26,Marketa,Becerro,28,83,64,51,66
27,Ilysa,Matyushonok,21,23,47,5,25
28,Pris,Izachik,19,97,68,93,86
29,Emyle,Coursor,19,52,87,60,66
30,Salaidh,Meaker,18,88,89,33,70
31,Jodie,Haddleton,20,85,85,58,76
32,Mac,Thornhill,23,46,65,87,66
33,Clerc,Padkin,26,69,86,60,72
34,Guntar,Fishley,19,63,11,57,44
35,Selestina,Batalini,23,25,89,48,54
36,Ruddie,Windram,20,68,21,87,59
37,Marika,Maulden,23,21,57,11,30
38,Latisha,Knightsbridge,20,88,1,88,59
39,Verena,Duncombe,26,24,84,58,55
40,Eden,Szepe,25,94,89,33,72
41,Kelsy,Liquorish,23,76,76,63,72
42,Nona,Cline,29,25,61,71,52
43,Olia,Rottger,29,76,33,87,65
44,Roberta,Bewfield,21,13,68,52,44
45,Paulie,Olley,28,45,66,65,59
46,Cobb,Monan,22,58,54,3,38
47,Cobbie,Worsell,26,12,87,88,62
48,Winona,Ferson,20,89,61,42,64
49,Gladys,Byart,24,46,93,31,57
50,Haven,Cruxton,29,58,34,60,51
51,Kleon,Lesurf,28,53,45,55,51
52,Reynard,Casina,25,69,74,54,66
53,Debera,Howles,27,87,54,18,53
54,Orren,Battlestone,29,66,58,84,69
55,Bryna,Griffe,28,55,50,70,58
56,Codi,Wild,28,75,73,70,73
57,Milty,Search,25,64,88,32,61
58,Kristofor,Lefley,23,89,89,74,84
59,Herculie,Hobbing,30,88,7,54,50
60,Rogers,Jennings,27,23,64,86,58
61,Merrielle,Dashper,23,2,81,72,52
62,Karyn,Kingzeth,21,69,72,54,65
63,Dominique,Myhan,22,45,68,88,67
64,Kaine,Gorini,20,88,88,57,78
65,Cherri,Giraudy,24,71,20,63,51
66,Shandra,Roumier,27,67,19,63,50
67,Shelley,Tuttle,18,55,86,76,72
68,Gunner,Reames,20,46,48,58,51
69,Eugene,Giffon,20,62,96,87,82
70,Galina,Hamor,18,73,73,66,71
71,Romeo,Oke,18,76,67,32,58
72,Angelia,Isselee,19,40,61,11,37
73,Rickert,Rubee,29,57,53,87,66
74,Flore,Kynnd,25,63,37,49,50
75,Teodora,Fincher,19,13,99,27,46
76,Leslie,Blacker,24,37,72,41,50
77,Yolanthe,Deave,29,70,43,94,69
78,Lefty,Bennellick,23,63,67,95,75
79,Brandie,Canavan,20,74,82,54,70
80,Kristoforo,Burford,27,82,75,27,61
81,Eloisa,Slamaker,19,16,81,35,44
82,Bevin,Rabbage,18,64,27,53,48
83,Lorelle,Bascomb,27,89,63,84,79
84,Madelyn,Balazin,30,81,46,56,61
85,Shawn,Hof,22,74,47,91,71
86,Mick,Killbey,20,41,87,44,57
87,Blancha,Waszczykowski,28,58,45,65,56
88,Midge,Zanicchelli,20,90,59,89,79
89,Sidnee,Coppen,25,56,67,60,61
90,Tamqrah,Bourne,28,81,6,64,50
91,Rodi,Grancher,29,35,70,19,41
92,Hamilton,Tatton,19,78,85,59,74
93,Deborah,Lindmark,19,59,59,36,51
94,Franni,Elsmore,29,65,32,41,46
95,Christoforo,Horburgh,29,23,41,51,38
96,Othilia,Sircomb,30,61,55,72,63
97,Alison,Dilgarno,20,84,38,82,68
98,Pierson,Scardefield,24,68,81,76,75
99,Ludwig,Boots,22,50,52,70,57
100,Nancey,Idel,28,2,58,72,44
101,Eva,Sanday,19,44,98,87,76
102,Elana,Jilliss,20,21,55,81,52
103,Bern,Clere,26,30,75,92,66
104,Eddi,Surgener,29,40,31,54,42
105,Savina,Andersson,29,67,100,7,58
106,Eunice,Skeffington,18,57,88,14,53
107,Kipper,Yosselevitch,24,80,53,27,53
108,Kristina,Carnie,26,56,54,83,64
109,Malina,Sterre,30,63,53,8,41
110,Petronille,MacColm,28,65,53,38,52
111,Rinaldo,Loidl,24,79,89,35,68
112,Legra,Dulany,21,89,51,73,71
113,Maighdiln,Jerger,20,30,20,18,23
114,Allen,Joinson,24,94,87,65,82
115,Ann,Irce,24,80,74,56,70
116,Ruthi,Walsh,27,61,68,71,67
117,Panchito,Crosbie,18,84,21,83,63
118,Aridatha,Dodman,25,89,3,22,38
119,Allys,Gookey,29,71,66,22,53
120,Niels,Hadlee,21,85,60,67,71
121,Darcy,Albutt,19,79,87,12,59
122,Swen,Kelloway,21,30,81,62,58
123,Melinde,Gittoes,28,39,79,31,50
124,Page,Briston,23,70,80,35,62
125,Alfy,Taberner,29,95,66,82,81
126,Ferdinande,Chaster,22,84,58,83,75
127,Anne,Longbothom,19,62,56,87,68
128,Gun,Whapham,28,71,89,96,85
129,Marcus,Hurler,26,8,53,69,43
130,Annadiane,Ashfield,21,0,61,77,46
131,Anstice,Innot,29,16,75,87,59
132,Elnar,Eyer,28,44,25,17,29
133,Lyle,Eingerfield,22,54,30,61,48
134,Dee,Vedenyakin,30,37,51,32,40
135,Rosella,Blezard,28,15,16,64,32
136,Corby,Ruos,18,87,77,59,74
137,Celka,Lebbern,30,12,82,29,41
138,Simmonds,Sturgis,20,74,86,7,56
139,Cloris,Vasilic,26,8,81,50,46
140,Hector,Waberer,19,86,54,98,79
141,Ola,Stott,21,83,22,72,59
142,Cletus,Kimm,19,75,30,70,58
143,Rogers,Bloxam,21,16,17,49,27
144,Ibby,Gerrard,23,28,75,55,53
145,Gerald,Hargey,29,42,89,46,59
146,Vannie,Woodroffe,25,83,23,66,57
147,Peta,Redfern,19,93,57,74,75
148,Inessa,Wile,30,58,51,71,60
149,Shell,Navaro,27,15,16,4,12
150,Francesca,Teacy,21,76,69,24,56
151,Guthry,Kuschel,24,31,85,51,56
152,Nerissa,Fevier,30,5,54,61,40
153,Helen,Goodrum,24,64,57,75,65
154,Emalia,Haliburton,19,30,1,44,25
155,Ayn,Arnfield,19,83,52,74,70
156,Gertie,Clempton,21,93,56,61,70
157,Skipper,Kilford,20,63,60,63,62
158,Megan,Brooksbie,24,62,78,89,76
159,Peggie,Guerreru,19,54,37,100,64
160,Brenn,Anderl,27,57,37,70,55
161,Miltie,McQuorkel,22,3,60,81,48
162,Amaleta,Freschi,24,15,34,78,42
163,Juliana,Slesser,22,82,35,100,72
164,Dolph,O' Mahony,23,71,5,85,54
165,Valentina,Gini,25,64,42,55,54
166,Bartlett,Readings,28,78,16,50,48
167,Forester,Buxcy,26,20,83,2,35
168,Marylou,Kiley,18,49,76,90,72
